Pipeline,Model,mean_PR_AUC,std_PR_AUC,mean_ROC_AUC,std_ROC_AUC,mean_F1,std_F1,mean_Precision,std_Precision,mean_Recall,std_Recall,mean_Accuracy,std_Accuracy,mean_Brier,std_Brier,mean_Lift_Top10,std_Lift_Top10,mean_EMV,std_EMV,test_PR_AUC,test_ROC_AUC,test_F1,test_Precision,test_Recall,test_Accuracy,test_Brier,test_Lift_Top10,test_EMV,CV_Runtime_s,Fit_Runtime_s,Peak_Mem_MB,N_Features
D,XGB,0.763116,0.018277,0.732482,0.018077,0.650224,0.015616,0.699627,0.01694,0.60771,0.021229,0.667818,0.013559,0.206992,0.005309,1.847481,0.043509,17098.666667,614.606339,0.77159,0.747286,0.665714,0.701807,0.633152,0.676796,0.20346,1.85959,22310.0,121.69,0.58,253.88,16
E,LGBM,0.759278,0.019438,0.730433,0.019935,0.662504,0.018527,0.691191,0.026022,0.636961,0.026141,0.670239,0.018556,0.232662,0.001662,1.838434,0.063874,17886.666667,744.298967,0.765433,0.742626,0.67688,0.694286,0.660326,0.679558,0.231618,1.77874,23230.0,136.84,0.47,253.88,16
E,LR,0.759518,0.022229,0.728031,0.021139,0.653523,0.027832,0.694261,0.022948,0.619048,0.045652,0.667358,0.019984,0.208882,0.006176,1.829387,0.072569,17396.0,1287.604642,0.77091,0.750588,0.669492,0.697059,0.644022,0.676796,0.203128,1.80569,22670.0,173.37,0.29,263.87,16
E,MLP,0.762259,0.021925,0.730033,0.01882,0.651885,0.037132,0.698827,0.054635,0.62449,0.093113,0.665401,0.018649,0.211664,0.008993,1.836181,0.04917,17528.666667,2447.768274,0.768087,0.737001,0.590832,0.78733,0.472826,0.667127,0.20911,1.83264,16930.0,180.83,1.68,253.88,16
E,RF,0.761241,0.018659,0.731417,0.02013,0.644435,0.019639,0.715151,0.018489,0.587302,0.030495,0.671048,0.013988,0.207062,0.006392,1.827127,0.065977,16577.333333,862.342877,0.767373,0.744867,0.648567,0.728814,0.584239,0.678177,0.204057,1.80569,20700.0,164.54,0.28,253.89,16
E,XGB,0.761322,0.0193,0.731941,0.020931,0.653211,0.018149,0.707009,0.020237,0.607483,0.024044,0.672315,0.015947,0.215581,0.003899,1.827127,0.05659,17118.666667,701.497039,0.766489,0.745371,0.662841,0.702128,0.627717,0.675414,0.213756,1.83264,22120.0,116.41,0.48,253.88,16
F,LGBM,0.762578,0.018649,0.732019,0.018264,0.658994,0.020366,0.695314,0.014366,0.626757,0.029832,0.670699,0.015588,0.217175,0.003062,1.849745,0.055254,17619.333333,866.820682,0.768573,0.748576,0.679666,0.697143,0.663043,0.68232,0.214524,1.83264,23340.0,143.87,0.22,253.88,64
F,LR,0.763341,0.019052,0.730149,0.019965,0.638933,0.020758,0.717981,0.025246,0.57619,0.026215,0.669201,0.017898,0.207153,0.006981,1.845238,0.073489,16272.666667,763.024683,0.776428,0.756343,0.654545,0.739726,0.586957,0.685083,0.200223,1.80569,20840.0,288.49,0.85,263.87,64
F,MLP,0.76067,0.021691,0.728159,0.022193,0.61971,0.040599,0.732221,0.041264,0.544671,0.077188,0.664016,0.01754,0.20967,0.008211,1.831664,0.06399,15408.666667,2086.53803,0.777118,0.757328,0.638365,0.757463,0.55163,0.68232,0.204054,1.80569,19650.0,153.38,1.44,253.89,64
F,RF,0.763388,0.016994,0.732306,0.01889,0.649712,0.017578,0.70072,0.018143,0.605896,0.021507,0.66805,0.015457,0.206222,0.006536,1.854277,0.066087,17052.0,640.225407,0.772343,0.750267,0.661912,0.696697,0.630435,0.672652,0.20234,1.80569,22190.0,200.5,0.28,253.89,64
F,XGB,0.763522,0.017214,0.731416,0.018319,0.64954,0.020604,0.700756,0.018925,0.605669,0.026549,0.66805,0.017222,0.207221,0.005291,1.856532,0.060493,17046.0,785.782594,0.766768,0.745558,0.668563,0.701493,0.638587,0.678177,0.203813,1.80569,22500.0,167.94,1.28,253.88,64
