dataset,pipeline,train_frac,n_samples,mean_PR_AUC,std_PR_AUC
retail,d,1.0,2892,0.7613,0.01665
retail,e,0.1,289,0.71086,0.02182
retail,e,0.2,578,0.71833,0.01409
retail,e,0.3,867,0.72409,0.01208
retail,e,0.4,1156,0.72636,0.00543
retail,e,0.5,1446,0.72663,0.00124
retail,e,0.6,1735,0.73165,0.00163
retail,e,0.7,2024,0.72976,0.00123
retail,e,0.8,2313,0.73165,0.00162
retail,e,0.9,2602,0.73221,0.00098
retail,e,1.0,2892,0.76186,0.01533
retail,f,0.1,289,0.72052,0.00808
retail,f,0.2,578,0.72869,0.01087
retail,f,0.3,867,0.73331,0.00925
retail,f,0.4,1156,0.7331,0.00521
retail,f,0.5,1446,0.72743,0.00436
retail,f,0.6,1735,0.72913,0.00512
retail,f,0.7,2024,0.72667,0.00345
retail,f,0.8,2313,0.72591,0.00356
retail,f,0.9,2602,0.72392,0.00132
retail,f,1.0,2892,0.76355,0.02151
