,importance
dae_15,0.19779703
dae_5,0.08564896
dae_10,0.060218737
dae_11,0.055672955
dae_12,0.052998565
dae_8,0.052437484
dae_14,0.051844962
dae_1,0.0512405
dae_7,0.05117903
dae_0,0.050642114
dae_6,0.05018424
dae_13,0.049171753
dae_4,0.04902257
dae_9,0.04870472
dae_3,0.046975832
dae_2,0.04626054
