,importance
dae_4,0.19683076
dae_12,0.10073583
dae_3,0.097509295
dae_7,0.07550185
dae_0,0.06233196
dae_9,0.05098808
dae_6,0.04663278
dae_8,0.045457233
dae_11,0.043954846
dae_10,0.043618597
dae_14,0.04105778
dae_15,0.041036077
dae_2,0.039879695
dae_5,0.039651718
dae_13,0.037639424
dae_1,0.037174076
